ID,Japanese,English
1,東京高等師範学校,Tokyo Higher Normal School
44,明治大学,Meiji University
50,早稲田大学,Waseda University
16,慶応義塾大学,Keio University
34,東京農業大学,Tokyo University of Agriculture
43,法政大学,Hosei University
28,中央大学,Chuo University
35,東大農学部実科,Faculty of Agriculture of Tokyo Univ
37,日本歯科医専門学校,Nippon Dental College
38,日本大学,Nihon University
14,関西大学,Kansai University
2,東京文理科大学,Tokyo Univ of Literature and Science
36,東洋大学,Toyo University
26,拓殖大学,Takushoku University
24,専修大学,Senshu University
48,立教大学,Rikkyo University
6,横浜専門学校,Yokohama Vocational School
11,青山学院大学,Aoyama Gakuin University
5,神奈川師範学校,Kanagawa Normal School
3,東京体育専門学校,Tokyo College of Physical Education
7,紅陵大学,Koryo University
8,日本体育専門学校,Nippon Professional School of Physical Education
4,東京教育大学,Tokyo University of Education
39,日本体育大学,Nippon Sport Science University
47,横浜国立大学,Yokohama National University
13,神奈川大学,Kanagawa University
23,成蹊大学,Seikei University
46,横浜市立大学,Yokohama City University
32,東京学芸大学,Tokyo Gakugei University
18,国士舘大学,Kokushikan University
21,順天堂大学,Juntendo University
20,埼玉大学,Saitama University
42,防衛大学,National Defense Academy
49,立命館大学,Ritsumeikan University
40,福岡大学,Fukuoka University
12,亜細亜大学,Asia University
19,駒澤大学,Komazawa University
25,大東文化大学,Daito Bunka University
31,東海大学,Tokai University
29,筑波大学,University of Tsukuba
33,東京大学,University of Tokyo
45,山梨学院大学,Yamanashi Gakuin University
27,中央学院大学,Chuo Gakuin University
15,関東学院大学,Kanto Gakuin University
30,帝京大学,Teikyo University
41,平成国際大学,Heisei International University
17,國學院大学,Kokugakuin University
9,関東学連選抜,Inter-Univ Athletics Union of Kanto
22,城西大学,Josai University
10,日本学連選抜,Inter-Univ Athletics Union of Japan
78,上武大学,Jobu University
92,創価大学,Soka University
93,関東学生連合,Inter-Univ Athletics Union of Kanto
94,東京国際大学,Tokyo International University
98,國學院大學,Kokugakuin University
95,駿河台大学,Surugadai University
