games,tn,year
1,1,1920
2,2,1921
3,3,1922
4,4,1923
5,5,1924
6,6,1925
7,7,1926
8,8,1927
9,9,1928
10,10,1929
11,11,1930
12,12,1931
13,13,1932
14,14,1933
15,15,1934
16,16,1935
17,17,1936
18,18,1937
19,19,1938
20,20,1939
21,21,1940
22,22,1943
23,23,1947
24,24,1948
25,25,1949
26,26,1950
27,27,1951
28,28,1952
29,29,1953
30,30,1954
31,31,1955
32,32,1956
33,33,1957
34,34,1958
35,35,1959
36,36,1960
37,37,1961
38,38,1962
39,39,1963
40,40,1964
41,41,1965
42,42,1966
43,43,1967
44,44,1968
45,45,1969
46,46,1970
47,47,1971
48,48,1972
49,49,1973
50,50,1974
51,51,1975
52,52,1976
53,53,1977
54,54,1978
55,55,1979
56,56,1980
57,57,1981
58,58,1982
59,59,1983
60,60,1984
61,61,1985
62,62,1986
63,63,1987
64,64,1988
65,65,1989
66,66,1990
67,67,1991
68,68,1992
69,69,1993
70,70,1994
71,71,1995
72,72,1996
73,73,1997
74,74,1998
75,75,1999
76,76,2000
77,77,2001
78,78,2002
79,79,2003
80,80,2004
81,81,2005
82,82,2006
83,83,2007
84,84,2008
85,85,2009
86,86,2010
87,87,2011
88,88,2012
89,89,2013
90,90,2014
91,91,2015
92,92,2016
93,93,2017
94,94,2018
95,95,2019
96,96,2020
97,99,2021
98,101,2022
